,datetimes,stamp,distance,alert
0,2008-08-01 03:45:00,1,3.2413333333333325,False
1,2008-03-14 15:30:00,14,15.756533333333318,True
2,2007-06-15 02:15:00,5,1.047066666666668,False
3,2007-12-16 17:15:00,5,11.548800000000014,False
4,2008-02-01 11:30:00,28,1.0944000000000007,False
0,2008-10-06 10:15:00,14,0.11640000000000028,False
1,2009-07-18 12:30:00,7,0.5338666666666669,False
2,2008-02-01 09:45:00,28,2.1048000000000053,False
3,2009-04-18 07:30:00,7,8.086533333333334,False
4,2008-09-26 16:45:00,4,0.5296000000000005,False
0,2008-11-07 11:00:00,5,5.717466666666667,False
1,2007-11-07 23:15:00,7,1.0658666666666696,False
2,2008-07-17 20:15:00,21,15.726799999999999,True
3,2009-12-26 08:15:00,1,8.626266666666666,False
4,2008-07-27 12:15:00,3,0.6962666666666668,False
0,2009-11-10 15:30:00,3,3.7589333333333412,False
1,2007-06-01 21:15:00,2,7.742133333333335,False
2,2008-04-19 22:30:00,14,24.50426666666667,True
3,2009-03-01 01:30:00,3,1.3046666666666644,False
4,2009-08-24 03:00:00,3,0.7277333333333328,False
0,2008-05-26 16:00:00,4,0.39840000000000253,False
1,2007-08-18 14:45:00,1,0.5501333333333334,False
2,2007-11-06 10:45:00,14,4.731333333333335,False
3,2009-04-12 19:45:00,14,6.392933333333328,False
4,2009-07-16 11:45:00,5,1.3574666666666666,False
0,2009-05-04 07:15:00,4,14.858533333333334,False
1,2008-10-28 18:45:00,28,26.377733333333335,True
2,2008-05-07 16:45:00,5,5.391333333333349,False
3,2009-08-24 03:30:00,3,1.6280000000000001,False
4,2008-04-12 21:30:00,4,4.393333333333322,False
0,2007-03-20 10:45:00,3,25.183999999999997,True
1,2008-01-17 03:00:00,5,0.36546666666666244,False
2,2008-04-02 11:45:00,21,6.326266666666668,False
3,2007-12-03 22:30:00,5,5.151600000000001,False
4,2007-02-17 05:15:00,35,1.4916000000000016,False
0,2007-11-01 10:45:00,35,0.16279999999999695,False
1,2007-10-13 03:15:00,28,0.4861333333333331,False
2,2009-06-02 15:00:00,5,1.559733333333333,False
3,2008-03-07 12:00:00,28,2.3042666666666665,False
4,2007-11-07 09:15:00,2,1.5497333333333367,False
0,2009-02-18 17:45:00,3,2.722933333333334,False
1,2009-11-16 23:00:00,35,2.4814666666666607,False
2,2007-06-15 02:45:00,28,2.281066666666665,False
3,2008-04-01 02:00:00,35,0.7774666666666658,False
4,2007-08-20 07:30:00,1,7.102666666666666,False
0,2009-07-21 10:00:00,4,1.2210666666666623,False
1,2009-12-09 06:00:00,35,1.2773333333333354,False
2,2008-11-22 20:00:00,21,2.5861333333333287,False
3,2009-07-01 10:00:00,28,0.9436000000000015,False
4,2007-12-24 21:00:00,14,11.699333333333335,False
0,2008-07-08 06:30:00,1,2.604133333333333,False
1,2009-01-24 14:30:00,1,24.4284,True
2,2009-06-08 18:30:00,1,0.8426666666666682,False
3,2007-07-21 22:30:00,28,2.365333333333334,False
4,2008-02-15 07:15:00,2,13.84613333333333,False
0,2007-05-21 09:15:00,14,0.3842666666666772,False
1,2007-06-11 10:45:00,7,1.2067999999999988,False
2,2007-09-25 04:00:00,28,1.0081333333333333,False
3,2008-07-19 09:45:00,35,6.628266666666667,False
4,2008-04-27 10:45:00,7,2.7520000000000016,False
0,2009-12-13 14:15:00,21,6.254666666666665,False
1,2009-09-06 12:45:00,35,0.870266666666673,False
2,2007-06-09 16:30:00,1,1.0925333333333314,False
3,2008-03-08 20:15:00,3,17.847733333333323,True
4,2007-06-09 11:30:00,2,1.4538666666666669,False
0,2008-08-17 05:30:00,2,1.1771999999999987,False
1,2008-03-28 03:15:00,1,0.3189333333333328,False
2,2008-03-16 21:30:00,7,14.32146666666666,False
3,2007-01-27 17:45:00,2,8.231866666666662,False
4,2008-02-10 16:45:00,1,0.5300000000000016,False
0,2008-04-09 03:00:00,1,2.1173333333333364,False
1,2007-04-09 17:15:00,5,11.766266666666668,False
2,2007-04-22 21:45:00,35,4.00546666666666,False
3,2007-09-23 18:30:00,14,14.135733333333334,False
4,2007-08-20 05:45:00,2,0.3895999999999987,False
0,2008-11-05 12:30:00,21,3.029333333333329,False
1,2008-08-11 17:00:00,14,3.1244000000000005,False
2,2007-05-03 07:30:00,21,19.449466666666655,True
3,2008-04-04 08:45:00,14,6.872933333333316,False
4,2009-10-23 07:15:00,3,8.029199999999998,False
